"Name","Version","InstallDate","InstallLocation"
"vs_SQLClickOnceBootstrappermsi","16.10.31205","20210718",
"IIS 10.0 Express","10.0.04403","20210717",
"SDK ARM Additions","10.1.19041.685","20210718",
"Active Directory Authentication Library for SQL Server","15.0.1300.359","20210717",
"NVIDIA Nsight Systems 2022.4.2","22.4.2.1","20221128",
"Microsoft Visual C++ 2019 X86 Minimum Runtime - 14.29.30133","14.29.30133","20220511",
"Microsoft Visual C++ 2019 X64 Debug Runtime - 14.29.30038","14.29.30038","20210717",
"Microsoft Azure Compute Emulator - v2.9.6","2.9.8899.26","20210717",
"Windows SDK for Windows Store Apps Headers","10.1.19041.685","20210718",
"Microsoft .NET Core Runtime - 3.1.16 (x64)","24.64.30112","20210718",
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.17","9.0.30729","20211029",
"Python 3.7.8 Executables (64-bit symbols)","3.7.8150.0","20210717",
"WinRT Intellisense Desktop - en-us","10.1.19041.685","20210718",
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.36.32532","14.36.32532","20231021",
"Python 3.7.8 Core Interpreter (64-bit)","3.7.8150.0","20210717",
"Microsoft .NET Runtime - 5.0.7 (x64)","40.28.30105","20210718",
"sptools_Microsoft.VisualStudio.Vsto.Msi.x64","16.0.28030","20210718",
"Java Auto Updater","2.8.51.16","20211108",
"Microsoft Windows Desktop Runtime - 5.0.7 (x86)","40.28.30113","20210718",
"HitFilm","21.1.2.0","20230929",
"Windows Team Extension SDK Contracts","10.1.19041.685","20210718",
"icecap_collection_x64","16.10.31306","20210717",
"Windows App Certification Kit x64","10.1.19041.685","20210718",
"Windows IoT Extension SDK","10.1.19041.685","20210718",
"WinRT Intellisense PPI - en-us","10.1.19041.685","20210718",
"vs_Graphics_Singletonx86","16.10.31213","20210717",
